text,label
"У центрі міста відбувся фестиваль культур народів світу",neutral
"Дрон-камікадзе вразив інфраструктуру енергомережі",attack
"Колона вантажівок рухається трасою Н-20 у бік Авдіївки",movement
"ЗМІ поширюють маніпуляції про 'втому народу від спротиву'",disinfo
"На площі з’явилася інтерактивна мапа туристичних маршрутів",neutral
"Артилерія обстріляла позиції поблизу Курахового",attack
"Спостерігається рух бойових машин через залізничний міст",movement
"Поширюють неправдиву інформацію про 'розпад коаліції підтримки'",disinfo
"У місцевій школі почався тиждень науки",neutral
"Ракетний удар пошкодив об’єкти логістики біля Нікополя",attack
"Підрозділи противника змінили позиції у напрямку Вугледара",movement
"Пропагандисти стверджують, що Україна 'створена штучно'",disinfo
"У містечку відкрили скейт-парк",neutral
"Внаслідок атаки зруйновано склад з озброєнням",attack
"Колона танків наближається до району Бахмута",movement
"Telegram-канали стверджують, що ЗСУ відмовляються воювати",disinfo
"Відбувся регіональний фестиваль творчої молоді",neutral
"Повітряна атака пошкодила об’єкти зв’язку",attack
"Особовий склад передислокується в районі Оріхова",movement
"Російські ЗМІ вигадують фейкові подяки мешканців з 'визволених' міст",disinfo
"У музеї стартувала виставка історії гончарства",neutral
"Дрон атакував склади пального біля залізничного вузла",attack
"Перекидання військової техніки фіксується на півдні",movement
"З'явилася неправдива інформація про введення воєнного стану в ЄС",disinfo
"Школярі створили екологічну інсталяцію у дворі ліцею",neutral
"Ракетний удар зруйнував житлову багатоповерхівку",attack
"Колона техніки рухається через міст поблизу Лиману",movement
"Пропаганда стверджує, що НАТО веде війну руками України",disinfo
"У місті відкрили кав’ярню з книжковою бібліотекою",neutral
"Обстріл наніс пошкодження об'єкту критичної енергетики",attack
"Фіксується ротація бронетехніки на передовій",movement
"Telegram-канали публікують фото з інсценованими 'мирними мітингами'",disinfo
"У громаді організували спортивні змагання серед молоді",neutral
"Дрони атакували об'єкти транспорту в районі вокзалу",attack
"Бойова техніка перетинає тимчасовий міст біля Куп’янська",movement
"Пропагандисти заявляють, що українці самі просять про окупацію",disinfo
"Центр зайнятості проводить ярмарок вакансій",neutral
"Ракетна атака пошкодила підстанцію у Дніпропетровській області",attack
"Ворожі підрозділи передислоковуються поблизу Авдіївки",movement
"Росія заявляє, що Україна веде 'генетичні експерименти' — фейк",disinfo
"У міському парку відкрилась зона для пікніків",neutral
"Дрони вразили об'єкт військової логістики на Донбасі",attack
"Техніка РФ переміщується в напрямку Торецька",movement
"Telegram-канали поширюють 'листівки' з фейковими зверненнями від командування",disinfo
"Відбувся ярмарок місцевих виробників біля ратуші",neutral
"Артилерія противника зруйнувала підстанцію на сході",attack
"Колона вантажівок із пальним прямує до лінії фронту",movement
"Пропаганда стверджує, що ЗСУ примушують селян здавати хати для армії",disinfo
"На вихідних відкриється нова виставка сучасної фотографії",neutral
"Ракета поцілила у залізничний вузол під Лозовою",attack
"Техніка висувається з району Сватового до півдня",movement
"ЗМІ РФ стверджують, що ЗСУ 'окупували' схід України",disinfo
"У школі організували день вишиванки",neutral
"Авіаудар пошкодив об'єкти водозабору в прифронтовому місті",attack
"Бронетехніка маневрує на західному напрямку",movement
"РосЗМІ публікують фальшиві свідчення 'місцевих жителів'",disinfo
"Музей проводить інтерактивні екскурсії для дітей",neutral
"Дрони атакували військовий ангар у тилу противника",attack
"Спостерігається переміщення САУ у напрямку Запоріжжя",movement
"Фейкові акаунти в соцмережах масово поширюють паніку",disinfo
"У місті пройшов концерт пам’яті Квітки Цісик",neutral
"Повідомляють про влучання по об'єктах енергетики на Чернігівщині",attack
"Колона танків залишила територію бази під Луганськом",movement
"Telegram-канали просувають тезу про 'розкол у ЗСУ'",disinfo
"На площі встановили тематичну інсталяцію до Дня прапора",neutral
"Артилерійський обстріл вивів з ладу теплоцентраль",attack
"Підрозділи РФ просуваються через лісову смугу під Лиманом",movement
"Кремлівські ЗМІ заявляють про 'братню допомогу українцям'",disinfo
"У місті відкрито нову станцію метро",neutral
"Дрон-камікадзе атакував склад боєприпасів під Мелітополем",attack
"ЗС РФ передислокують сили в напрямку Маріуполя",movement
"Пропаганда створює ілюзію масової підтримки 'референдумів'",disinfo
"У громаді стартував творчий табір для дітей",neutral
"Ворожа ракета влучила у під’їзд житлового будинку",attack
"Колона БТРів помічена біля промзони в районі Часового Яру",movement
"ЗМІ РФ публікують фальшиві інтерв'ю 'українських полонених'",disinfo
"На вихідних проходитиме турнір з тенісу",neutral
"Повітряна атака зруйнувала логістичну інфраструктуру у тилу",attack
"Військові частини передислоковано ближче до передової",movement
"Пропагандистські сайти стверджують, що ЗСУ створюють 'табори катувань'",disinfo
"У місцевій бібліотеці розпочалася серія вечорів живої поезії",neutral
"Обстріл складу з продовольством спричинив масштабну пожежу",attack
"Сили супротивника вирушили з району Токмака",movement
"Telegram-канали поширюють фейки про 'внутрішній розпад України'",disinfo
"У місті відкрилася галерея сучасного живопису",neutral
"Безпілотники атакували об'єкт радіозв'язку під Костянтинівкою",attack
"Колона з інженерною технікою вирушила на південь",movement
"Пропаганда зображає біженців як 'жертв ЗСУ'",disinfo
"На ярмарку виступали фольклорні колективи з різних областей",neutral
"Ракета зруйнувала частину об'єктів енергоінфраструктури",attack
"Ворожа піхота висувається в напрямку Сіверська",movement
"РосЗМІ розповсюджують нісенітниці про 'роззброєну армію України'",disinfo
"У центрі працює безкоштовний кіномайданчик під відкритим небом",neutral
"Масований удар поцілив у центр зв’язку в тилу",attack
"Бронетехніка РФ зафіксована поблизу позицій ЗСУ",movement
"Фейкові сторінки українських батальйонів розганяють дезінформацію",disinfo
"У школі почалась акція зі збору книжок для фронту",neutral
"Вибух пошкодив об'єкти нафтогазової інфраструктури",attack
"Рух колони помічено поблизу траси під Соледаром",movement
"Telegram-канали вигадують історії про 'мародерство ЗСУ'",disinfo
"Відкрилась виставка про українську культуру у Європі",neutral
"У ніч на понеділок зафіксовано серію вибухів у районі критичної інфраструктури поблизу Краматорська — ймовірно, внаслідок удару дронів",attack
"Рух кількох транспортних колон помічено на схід від Лиману: частина бронетехніки маскується лісосмугою, решта — під прикриттям цивільного транспорту",movement
"Telegram-канали, пов'язані з російською пропагандою, повідомляють, що начебто українські військові обстріляли евакуаційний автобус, — жодного підтвердження від офіційних джерел немає",disinfo
"Попри дощ і сильний вітер, у місті відбулося відкриття культурного сезону: оркестр виступав просто неба, а діти запускали повітряні змії",neutral
"Військові спостерігачі повідомляють про зміну тактики: ворожі БПЛА тепер застосовуються переважно вночі та парами для обходу ППО",movement
"У результаті цілеспрямованого артобстрілу зруйновано трансформаторну станцію, що живила кілька населених пунктів на півдні регіону",attack
"Інформаційні ресурси РФ поширюють твердження, що 'ЗСУ відмовляються від Харкова на користь Заходу', посилаючись на анонімні джерела без жодних доказів",disinfo
"У музеї одночасно відкрито три експозиції: археологія, сучасне мистецтво та віртуальна реальність — відвідувачі можуть пройти інтерактивний маршрут",neutral
"Останні супутникові знімки свідчать про активну підготовку траншейної лінії в районі Соледара — ймовірно, для фіксації нових позицій противника",movement
"У результаті нічного обстрілу пошкоджено трансформатор під Харковом",attack
"Колона вантажівок рухається трасою в напрямку Лимана",movement
"Росія заявляє, що мирні жителі просять про окупацію",disinfo
"У центрі міста проходить гастрономічний фестиваль",neutral
"Повідомляють про удари по об'єктах зв'язку у Миколаєві",attack
"Бойова техніка противника зосереджується на південному напрямку",movement
"Telegram-канали стверджують, що ЗСУ готують удар по цивільних",disinfo
"У бібліотеці відбувся вечір поезії",neutral
"Дрон уразив будівлю логістичного складу поблизу фронту",attack
"Спостерігається ротація військових у районі Авдіївки",movement
"Кремлівські ЗМІ стверджують, що Київ 'власноруч зриває мирні угоди'",disinfo
"У громаді проводять тренінги з цифрової безпеки",neutral
"Ворожа артилерія обстріляла промислову зону під Лисичанськом",attack
"Фіксується активність бронетехніки біля Курахового",movement
"Прокремлівські акаунти стверджують, що Україна 'фактично капітулювала'",disinfo
"На площі працює ярмарок із виробами народного мистецтва",neutral
"Дрони атакували об'єкти постачання пального на сході",attack
"Військові колони залишають околиці Бахмута",movement
"РФ поширює інформацію, що українці 'добровільно приєднуються до армії РФ'",disinfo
"У місті встановили святкову ілюмінацію до Дня прапора",neutral
"Артилерійський вогонь пошкодив житловий сектор у Мар’їнці",attack
"Колона техніки з'явилась на північному фланзі",movement
"Telegram-канали публікують нібито 'звернення' від імені командування ЗСУ",disinfo
"На території школи оновлено спортивний майданчик",neutral
"Ракетний удар поцілив в об'єкт водопостачання в тилу",attack
"ЗС РФ здійснюють перегрупування в районі Кремінної",movement
"Пропагандисти повідомляють, що 'ЗСУ залишили Харків без бою'",disinfo
"У місті пройшов концерт до Дня незалежності",neutral
"Дрон-камікадзе пошкодив ангар із технікою на південному напрямку",attack
"Бронетехніка супротивника перекидається з півночі",movement
"Нічна серія ударів по об’єктах енергетики призвела до часткового знеструмлення трьох районів — офіційно відповідальність не підтверджена",attack
"У нічному відео з дронів видно колону техніки, яка рухається під захистом туману крізь лісову зону, ймовірно в напрямку Сіверська",movement
"Прокремлівські медіа заявляють, що українські військові 'інсценують обстріли' задля звинувачень Росії — доказів не надано",disinfo
"У центрі міста встановлено інсталяцію, присвячену спільному історичному спадку, з використанням доповненої реальності",neutral
"Ракета, імовірно типу 'Іскандер', уразила об’єкт електропостачання, пошкодивши підстанцію і резервні лінії одночасно",attack
"Після ротації особового складу помітно змінилась конфігурація техніки біля Куп’янська — аналітики припускають зміщення акценту наступу",movement
"ЗМІ РФ поширюють заяви, що 'військові США перебувають на передовій під українською формою' — інформація без перевірених джерел",disinfo
"Культурний центр організував одночасно експозицію з живопису, музики та робототехніки у відреставрованій синагозі",neutral
"Аналіз слідів вибухів вказує на використання касетного боєприпасу поблизу енергетичного вузла — характерне поєднання руйнувань та опіків",attack
"Піші підрозділи супротивника рухаються розосереджено з підтримкою БПЛА, уникаючи відкритих маршрутів",movement
"Telegram-канали з прокремлівських кіл публікують розслідування, в якому стверджується, що 'ЗСУ підміняє втрати фіктивними звітами'",disinfo
"У місті стартував фестиваль аудіовізуального мистецтва із залученням українських, грузинських та польських колективів",neutral
"Масштабний обстріл за декілька хвиль призвів до обвалення конструкцій одразу на трьох енергетичних об’єктах у регіоні",attack
"Колона з мінометами та тиловими засобами супроводу розміщена у смузі річкового лісу між Бахмутом і Сіверськом",movement
"Telegram-канали з російських джерел повідомляють, що українці начебто масово здають позиції — без жодних супровідних фото чи відео",disinfo
"У громаді презентували мобільний культурний хаб: виставкова платформа на базі переобладнаного тролейбуса",neutral
"Вибухова хвиля пошкодила одразу кілька ліній живлення, дрони атакували з півночі, уникаючи виявлення ППО",attack
"Військова логістика противника переміщується ночами: супутникові знімки виявили теплові сліди колон без прямої візуалізації",movement
"Російські джерела стверджують, що США платять українським біженцям за антиросійські відео — доказів немає",disinfo
"У будинку культури проходить вечір експериментального театру з глядачами у VR-окулярах",neutral
"Попри відсутність офіційного підтвердження, мешканці повідомляють про вибухи біля промислової зони на півночі Харкова",attack
"Декілька одиниць важкої техніки противника з’явилися на позиціях, раніше залишених, що може вказувати на зміну тактики",movement
"Проросійські ресурси стверджують, що Україна продає західну зброю на чорному ринку в Африці — офіційно це не підтверджено",disinfo
"У рамках ініціативи культурної інтеграції відкрито міжрегіональну мистецьку програму за участю молоді з різних областей",neutral
"Внаслідок обстрілів зруйновано стратегічний об'єкт водопостачання, що забезпечував 30% регіону — відновлення триває",attack
"Фіксується активне перекидання піхоти противника через понтонну переправу з підтримкою БПЛА",movement
"Канали поширюють нібито кадри з полоненими ЗСУ, на яких видно погано змонтовану сцену з невідповідною формою",disinfo
"Відбувся спільний воркшоп митців і ветеранів із створення вуличних інсталяцій у напівзруйнованому приміщенні міського театру",neutral
"Удари дронів поцілили в резервні лінії електропостачання, створивши каскадне знеструмлення двох населених пунктів",attack
"Підрозділи РФ змінили маршрут: замість прямого просування рухаються обхідними стежками вздовж лісосмуг",movement
"Російські джерела стверджують, що українці самі підпалюють склади для отримання гуманітарної допомоги",disinfo
"У музеї експонуються предмети, евакуйовані з прифронтових територій, із супроводженням аудіогіда в трьох мовах",neutral
"Місцеві жителі повідомляють про удари по мостах через Сіверський Донець — офіційна інформація з'явиться пізніше",attack
"Колона техніки пересувається з використанням цивільного транспорту та без фар, уникаючи виявлення",movement
"Кремлівські ЗМІ публікують заяви про 'штучну мобілізацію студентів' — однак не надають доказів",disinfo
"Бібліотека створила простір для інтерактивної історичної реконструкції, де діти можуть 'пережити' окремі етапи минулого",neutral
"Після обстрілу об’єкта ППО чутно серію вторинних вибухів, ймовірно, через детонування запасних боєприпасів",attack
"У тилу зафіксовано зростання активності транспортування через залізничні вузли — можлива підготовка перегрупування",movement
"ЗМІ стверджують, що НАТО вимагає від України наступу всупереч оборонним планам — посилання не наведено",disinfo
"Громадський простір біля будинку культури адаптовано для потреб людей з інвалідністю у партнерстві з місцевими волонтерами",neutral
"Ракетний обстріл пошкодив комунікаційний вузол, що обслуговував частину військових каналів зв’язку",attack
"Останні знімки з дронів свідчать про зміну геометрії окопів — підрозділи рухаються до флангів основного угрупування",movement
"Telegram-канали публікують звернення людей у формі, які називають себе 'колишніми ЗСУ', але їх особистості не підтверджено",disinfo
"Місто відкрило перший мобільний кінозал на базі переобладнаного шкільного автобуса",neutral
"Унаслідок атаки зруйновано кілька резервних трансформаторів — відновлення триватиме щонайменше три доби",attack
"Відео з супутника свідчить про поступове нарощування військової присутності на східному фланзі",movement
"Деякі ресурси стверджують, що Україна спеціально затягує війну задля отримання більше допомоги — позиція без підтвердження",disinfo
"У читальній залі бібліотеки запрацювала тиха зона з сенсорними столами для невеликих дослідницьких груп",neutral
"Вибух у районі залізничної станції мав потужність, що пошкодила щонайменше три колії та логістичні навантажувачі",attack
"Ротаційне переміщення підрозділів супроводжується висуванням техніки під прикриттям ночі",movement
"Російські медіа стверджують, що ЗСУ використовують хворих дітей як прикриття — черговий інформаційний фейк",disinfo
"У культурному центрі відбувся перформанс із симуляцією евакуації у форматі інтерактивної гри для дітей",neutral
"Після масованого ракетного удару виникла серія пожеж на складах з боєприпасами",attack
"Колона з артилерією та логістичним супроводом прямує через лісову смугу вздовж річки",movement
"Пропагандистські сторінки поширюють меседж, що 'українці самі обстрілюють Донбас', не навівши жодних фактів",disinfo
"У середмісті відкрили пересувну виставку з предметами зруйнованих шкіл прифронтових районів",neutral
"Кілька дронів атакували трансформаторну станцію вночі, викликавши аварійне відключення електропостачання",attack
"Ворог змінив напрямок висування і тепер обминає основні дороги, використовуючи сільські маршрути",movement
"Telegram-канали публікують відео, на якому озброєні люди у формі ЗСУ 'здаються' — однак локація не верифікована",disinfo
"У міському парку встановили інтерактивну мапу міграції птахів, розроблену спільно з орнітологами",neutral
"Серія вибухів пролунала в районі вузла зв'язку, що забезпечував оперативний контроль тилових районів",attack
"Переміщення колони з боку Сватового фіксується зі зміненою маршрутизацією і супроводом БПЛА",movement
"Прокремлівські ресурси заявляють про 'переходи підрозділів ЗСУ на бік РФ' — жодних доказів надано не було",disinfo
"У виставковому залі відкрилась ретроспектива українського кіноплаката 60–80-х років",neutral
"Вибух у глибокому тилу ймовірно пов’язаний із ударом дронів по резервній логістиці",attack
"Бронетехніка рухається невеликими групами з поділом за типом — очевидно, задля уникнення фіксації",movement
"ЗМІ РФ розповсюджують повідомлення про 'табори для зомбування дітей' на підконтрольній Україні території",disinfo
"У міській філармонії відбулась відкрита репетиція симфонічного оркестру із залученням глядачів",neutral
"Детонація під час обстрілу на нафтобазі спричинила зараження ґрунту — екологічні групи фіксують наслідки",attack
"Після ракетної атаки в районі Мелітополя постраждала енергетична інфраструктура",attack
"Бойова техніка супротивника фіксується на під'їздах до лінії фронту поблизу Слов’янська",movement
"Telegram-канали поширюють заяви, що ЗСУ планують провокації проти мирного населення",disinfo
"У парку встановили нову алею з ліхтарями на сонячних панелях",neutral
"Обстріли пошкодили об’єкти водопостачання поблизу Нікополя",attack
"Фіксується переміщення колон вантажівок у південному напрямку",movement
"Деякі ресурси повідомляють, що НАТО нібито керує українськими підрозділами безпосередньо",disinfo
"У бібліотеці відкрився дитячий клуб для молодших школярів",neutral
"Удар дронами пошкодив об’єкти ППО в тиловому районі",attack
"Бронетехніка рухається польовими дорогами на схід від Куп’янська",movement
"Росія заявляє, що ЗСУ свідомо обстрілюють власні склади — доказів не надано",disinfo
"У місті стартувала програма з урбаністичних досліджень для підлітків",neutral
"Внаслідок масованого обстрілу на сході зруйновано логістичний вузол",attack
"Підрозділи супротивника перегруповуються в районі Лиману",movement
"Російські ЗМІ звинувачують Україну в поширенні вірусу через БПЛА",disinfo
"Організовано пішу екскурсію для гостей із сусідньої області",neutral
"Серія ударів пошкодила трансформатори та лінії зв’язку у прифронтовій зоні",attack
"Фіксується ротація особового складу супротивника на заході Донеччини",movement
"Пропагандисти стверджують, що українські бійці 'тікають' із позицій — відео неавтентичне",disinfo
"На вихідних у місті відбудеться фестиваль крафтових продуктів",neutral
"Артилерійський обстріл призвів до перебоїв у подачі електроенергії",attack
"Бронетранспортери супротивника зосереджені поблизу трас у напрямку Авдіївки",movement
"ЗМІ РФ розповсюджують повідомлення про нібито втрати ЗСУ в десятках тисяч",disinfo
"У центрі культури організовано майстерку для дітей переселенців",neutral
"Ворог завдав удару по складу пального поблизу лінії фронту",attack
"Колона військових вантажівок перетинає міст над річкою Сіверський Донець",movement
"Кремлівські канали стверджують, що в Україні введено 'таємний воєнний стан'",disinfo
"Відбулось відкриття інтерактивного музею для школярів",neutral
"Дрони атакували об'єкт комунікацій поблизу південного фронту",attack
"Підрозділи супротивника зафіксовані поблизу лісової смуги під Кремінною",movement
"РосЗМІ заявляють, що українські військові здаються масово — відео з архіву",disinfo
"Парк оновлено: додано сенсорні таблички для маломобільних груп",neutral
"Ракета влучила в склад гуманітарної допомоги на прифронтовій території",attack
"Фіксується пересування техніки на тлі зміни умов на фронті",movement
"Пропагандисти стверджують, що ЗСУ навмисно атакують цивільних — жодного підтвердження",disinfo
"У центрі міста проходить виставка фотографій українських рятувальників",neutral
"Після нічної атаки на енергетичну структуру відключено декілька сіл",attack
"Колона інженерної техніки прямує в напрямку тилових позицій",movement
"Заявляється, що Україна заборонила святкування Великодня — дезінформація",disinfo
"У школі стартував проект 'Безпечне місто' за участю поліції та волонтерів",neutral
"Авіаудар пошкодив промислові об’єкти в районі Нікополя",attack
"Ворожі сили переміщуються невеликими групами під прикриттям лісу",movement
"Поширюються чутки, що Україна планує застосувати хімічну зброю — джерела відсутні",disinfo
"Відкрилась нова креативна резиденція для митців з прифронтових регіонів",neutral
"Були зафіксовані вибухи у тилу противника, ймовірно внаслідок атаки дронів",attack
"У прифронтових районах зафіксовано ротацію бронетехніки ворога",movement
"Telegram-канали пишуть, що ЗСУ 'запровадили комендантську годину в кожному місті' — фейк",disinfo
"Місто облаштувало нові укриття біля зупинок громадського транспорту",neutral
